PERMNO,DATE,RET
89696,20071204,-0.029190
89696,20071205,0.011154
89740,20030512,C
89740,20030513,0.093577
89740,20030514,-0.026582
89740,20030515,0.050715
89740,20030516,-0.023515
89740,20030519,-0.011407
89740,20030520,0.008974
89740,20030521,-0.085133
89740,20030522,-0.025000
89740,20030523,0.139601
89740,20030527,-0.002500
89740,20030528,0.025063
89740,20030529,-0.022005
89740,20030530,-0.025000
89740,20030602,0.012821
89740,20030603,0.000000
89740,20030604,-0.012658
89740,20030605,0.000000
89740,20030606,-0.006410
89740,20030609,0.000000
89740,20030610,0.004129
89740,20030611,0.034695
89740,20030612,-0.018877
89740,20030613,0.000000
89740,20030616,-0.012658
89740,20030617,0.025641
89740,20030618,-0.025000
89740,20030619,0.012821
89740,20030620,0.012658
89740,20030623,-0.025000
89740,20030624,0.017436
89740,20030625,0.000504
89740,20030626,0.007557
89740,20030627,-0.060000
89740,20030630,0.025000
89740,20030701,-0.013492
89740,20030702,0.012625
89740,20030703,-0.005974
89740,20030707,0.006010
89740,20030708,-0.009091
89740,20030709,-0.000786
89740,20030710,-0.002099
89740,20030711,0.002103
89740,20030714,0.005771
89740,20030715,-0.003130
89740,20030716,-0.003140
89740,20030717,-0.002625
89740,20030718,0.007895
89740,20030721,0.007833
89740,20030722,-0.002591
89740,20030723,-0.012987
89740,20030724,0.010526
89740,20030725,-0.002604
89740,20030728,0.000000
89740,20030729,-0.005222
89740,20030730,0.000000
89740,20030731,0.000000
89740,20030801,0.005249
89740,20030804,0.007833
89740,20030805,-0.007772
89740,20030806,-0.007833
89740,20030807,0.015789
89740,20030808,0.000000
89740,20030811,0.000000
89740,20030812,0.000000
89740,20030813,0.000000
89740,20030814,-0.007772
89740,20030815,0.000000
89740,20030818,0.000000
89740,20030819,0.002611
89740,20030820,0.010417
89740,20030821,-0.014175
89740,20030822,0.000000
89740,20030825,-0.003137
89740,20030826,0.003934
89740,20030827,0.004441
89740,20030828,0.002341
89740,20030829,-0.003633
89740,20030902,0.005208
89740,20030903,0.018653
89740,20030904,0.000000
89740,20030905,0.017294
89740,20030908,-0.014500
89740,20030909,-0.032978
89740,20030910,-0.000525
89740,20030911,0.006562
89740,20030912,0.000000
89740,20030915,0.024772
89740,20030916,0.017812
89740,20030917,-0.017500
89740,20030918,0.000000
89740,20030919,0.004580
89740,20030922,0.025836
89740,20030923,0.012346
89740,20030924,-0.016585
89740,20030925,0.016865
89740,20030926,-0.021951
89740,20030929,0.000000
89740,20030930,0.067332
89740,20031001,-0.057477
89740,20031002,0.020079
89740,20031003,-0.024544
89740,20031006,0.000000
89740,20031007,-0.004983
89740,20031008,-0.011016
89740,20031009,0.012658
89740,20031010,-0.087500
89740,20031013,0.082192
89740,20031014,0.004557
89740,20031015,-0.017137
89740,20031016,-0.012821
89740,20031017,0.103896
89740,20031020,-0.058824
89740,20031021,0.000000
89740,20031022,0.000000
89740,20031023,0.025000
89740,20031024,-0.024390
89740,20031027,-0.037500
89740,20031028,-0.012987
89740,20031029,0.000000
89740,20031030,-0.010526
89740,20031031,0.063830
89740,20031103,0.000000
89740,20031104,0.012500
89740,20031105,-0.012346
89740,20031106,0.050000
89740,20031107,-0.044762
89740,20031110,0.096710
89740,20031111,-0.056818
89740,20031112,0.036145
89740,20031113,0.034884
89740,20031114,-0.005393
89740,20031117,0.000000
89740,20031118,-0.002937
89740,20031119,0.000000
89740,20031120,0.002946
89740,20031121,0.016674
89740,20031124,0.022268
89740,20031125,0.043478
89740,20031126,0.015625
89740,20031128,0.066667
89740,20031201,-0.038462
89740,20031202,-0.038800
89740,20031203,0.050770
89740,20031204,-0.020198
89740,20031205,0.005659
89740,20031208,0.016881
89740,20031209,-0.051383
